hardware,model,layer_name,input,kv_cache,latency(ns)
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,10,44892
RTX3090,gpt3-6.7b-moe,attention/dense,1,10,10357
RTX3090,gpt3-6.7b-moe,attention/qkv,1,10,9546
RTX3090,gpt3-6.7b-moe,lm_head,1,10,9555
RTX3090,gpt3-6.7b-moe,mlp/proj,1,10,9381
RTX3090,gpt3-6.7b-moe,mlp/fc,1,10,9201
RTX3090,gpt3-6.7b-moe,gating,1,10,6100
RTX3090,gpt3-6.7b-moe,moe_ffn,1,10,73989
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,11,55617
RTX3090,gpt3-6.7b-moe,ln_f,1,11,62572
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,11,102555
RTX3090,gpt3-6.7b-moe,post_layernorm,1,11,44296
RTX3090,gpt3-6.7b-moe,input_layernorm,1,11,45243
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,11,44902
RTX3090,gpt3-6.7b-moe,attention/dense,1,11,10367
RTX3090,gpt3-6.7b-moe,attention/qkv,1,11,9556
RTX3090,gpt3-6.7b-moe,lm_head,1,11,9565
RTX3090,gpt3-6.7b-moe,mlp/proj,1,11,9391
RTX3090,gpt3-6.7b-moe,mlp/fc,1,11,9211
RTX3090,gpt3-6.7b-moe,gating,1,11,6110
RTX3090,gpt3-6.7b-moe,moe_ffn,1,11,73999
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,12,55627
RTX3090,gpt3-6.7b-moe,ln_f,1,12,62582
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,12,102565
RTX3090,gpt3-6.7b-moe,post_layernorm,1,12,44306
RTX3090,gpt3-6.7b-moe,input_layernorm,1,12,45253
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,12,44912
RTX3090,gpt3-6.7b-moe,attention/dense,1,12,10377
RTX3090,gpt3-6.7b-moe,attention/qkv,1,12,9566
RTX3090,gpt3-6.7b-moe,lm_head,1,12,9575
RTX3090,gpt3-6.7b-moe,mlp/proj,1,12,9401
RTX3090,gpt3-6.7b-moe,mlp/fc,1,12,9221
RTX3090,gpt3-6.7b-moe,gating,1,12,6120
RTX3090,gpt3-6.7b-moe,moe_ffn,1,12,74009
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,13,55637
RTX3090,gpt3-6.7b-moe,ln_f,1,13,62592
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,13,102575
RTX3090,gpt3-6.7b-moe,post_layernorm,1,13,44316
RTX3090,gpt3-6.7b-moe,input_layernorm,1,13,45263
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,13,44922
RTX3090,gpt3-6.7b-moe,attention/dense,1,13,10387
RTX3090,gpt3-6.7b-moe,attention/qkv,1,13,9576
RTX3090,gpt3-6.7b-moe,lm_head,1,13,9585
RTX3090,gpt3-6.7b-moe,mlp/proj,1,13,9411
RTX3090,gpt3-6.7b-moe,mlp/fc,1,13,9231
RTX3090,gpt3-6.7b-moe,gating,1,13,6130
RTX3090,gpt3-6.7b-moe,moe_ffn,1,13,74019
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,14,55647
RTX3090,gpt3-6.7b-moe,ln_f,1,14,62602
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,14,102585
RTX3090,gpt3-6.7b-moe,post_layernorm,1,14,44326
RTX3090,gpt3-6.7b-moe,input_layernorm,1,14,45273
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,14,44932
RTX3090,gpt3-6.7b-moe,attention/dense,1,14,10397
RTX3090,gpt3-6.7b-moe,attention/qkv,1,14,9586
RTX3090,gpt3-6.7b-moe,lm_head,1,14,9595
RTX3090,gpt3-6.7b-moe,mlp/proj,1,14,9421
RTX3090,gpt3-6.7b-moe,mlp/fc,1,14,9241
RTX3090,gpt3-6.7b-moe,gating,1,14,6140
RTX3090,gpt3-6.7b-moe,moe_ffn,1,14,74029
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,15,55657
RTX3090,gpt3-6.7b-moe,ln_f,1,15,62612
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,15,102595
RTX3090,gpt3-6.7b-moe,post_layernorm,1,15,44336
RTX3090,gpt3-6.7b-moe,input_layernorm,1,15,45283
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,15,44942
RTX3090,gpt3-6.7b-moe,attention/dense,1,15,10407
RTX3090,gpt3-6.7b-moe,attention/qkv,1,15,9596
RTX3090,gpt3-6.7b-moe,lm_head,1,15,9605
RTX3090,gpt3-6.7b-moe,mlp/proj,1,15,9431
RTX3090,gpt3-6.7b-moe,mlp/fc,1,15,9251
RTX3090,gpt3-6.7b-moe,gating,1,15,6150
RTX3090,gpt3-6.7b-moe,moe_ffn,1,15,74039
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,16,55667
RTX3090,gpt3-6.7b-moe,ln_f,1,16,62622
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,16,102605
RTX3090,gpt3-6.7b-moe,post_layernorm,1,16,44346
RTX3090,gpt3-6.7b-moe,input_layernorm,1,16,45293
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,16,44952
RTX3090,gpt3-6.7b-moe,attention/dense,1,16,10417
RTX3090,gpt3-6.7b-moe,attention/qkv,1,16,9606
RTX3090,gpt3-6.7b-moe,lm_head,1,16,9615
RTX3090,gpt3-6.7b-moe,mlp/proj,1,16,9441
RTX3090,gpt3-6.7b-moe,mlp/fc,1,16,9261
RTX3090,gpt3-6.7b-moe,gating,1,16,6160
RTX3090,gpt3-6.7b-moe,moe_ffn,1,16,74049
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,17,55677
RTX3090,gpt3-6.7b-moe,ln_f,1,17,62632
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,17,102615
RTX3090,gpt3-6.7b-moe,post_layernorm,1,17,44356
RTX3090,gpt3-6.7b-moe,input_layernorm,1,17,45303
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,17,44962
RTX3090,gpt3-6.7b-moe,attention/dense,1,17,10427
RTX3090,gpt3-6.7b-moe,attention/qkv,1,17,9616
RTX3090,gpt3-6.7b-moe,lm_head,1,17,9625
RTX3090,gpt3-6.7b-moe,mlp/proj,1,17,9451
RTX3090,gpt3-6.7b-moe,mlp/fc,1,17,9271
RTX3090,gpt3-6.7b-moe,gating,1,17,6170
RTX3090,gpt3-6.7b-moe,moe_ffn,1,17,74059
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,18,55687
RTX3090,gpt3-6.7b-moe,ln_f,1,18,62642
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,18,102625
RTX3090,gpt3-6.7b-moe,post_layernorm,1,18,44366
RTX3090,gpt3-6.7b-moe,input_layernorm,1,18,45313
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,18,44972
RTX3090,gpt3-6.7b-moe,attention/dense,1,18,10437
RTX3090,gpt3-6.7b-moe,attention/qkv,1,18,9626
RTX3090,gpt3-6.7b-moe,lm_head,1,18,9635
RTX3090,gpt3-6.7b-moe,mlp/proj,1,18,9461
RTX3090,gpt3-6.7b-moe,mlp/fc,1,18,9281
RTX3090,gpt3-6.7b-moe,gating,1,18,6180
RTX3090,gpt3-6.7b-moe,moe_ffn,1,18,74069
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,19,55697
RTX3090,gpt3-6.7b-moe,ln_f,1,19,62652
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,19,102635
RTX3090,gpt3-6.7b-moe,post_layernorm,1,19,44376
RTX3090,gpt3-6.7b-moe,input_layernorm,1,19,45323
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,19,44982
RTX3090,gpt3-6.7b-moe,attention/dense,1,19,10447
RTX3090,gpt3-6.7b-moe,attention/qkv,1,19,9636
RTX3090,gpt3-6.7b-moe,lm_head,1,19,9645
RTX3090,gpt3-6.7b-moe,mlp/proj,1,19,9471
RTX3090,gpt3-6.7b-moe,mlp/fc,1,19,9291
RTX3090,gpt3-6.7b-moe,gating,1,19,6190
RTX3090,gpt3-6.7b-moe,moe_ffn,1,19,74079
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,20,55707
RTX3090,gpt3-6.7b-moe,ln_f,1,20,62662
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,20,102645
RTX3090,gpt3-6.7b-moe,post_layernorm,1,20,44386
RTX3090,gpt3-6.7b-moe,input_layernorm,1,20,45333
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,20,44992
RTX3090,gpt3-6.7b-moe,attention/dense,1,20,10457
RTX3090,gpt3-6.7b-moe,attention/qkv,1,20,9646
RTX3090,gpt3-6.7b-moe,lm_head,1,20,9655
RTX3090,gpt3-6.7b-moe,mlp/proj,1,20,9481
RTX3090,gpt3-6.7b-moe,mlp/fc,1,20,9301
RTX3090,gpt3-6.7b-moe,gating,1,20,6200
RTX3090,gpt3-6.7b-moe,moe_ffn,1,20,74089
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,21,55717
RTX3090,gpt3-6.7b-moe,ln_f,1,21,62672
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,21,102655
RTX3090,gpt3-6.7b-moe,post_layernorm,1,21,44396
RTX3090,gpt3-6.7b-moe,input_layernorm,1,21,45343
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,21,45002
RTX3090,gpt3-6.7b-moe,attention/dense,1,21,10467
RTX3090,gpt3-6.7b-moe,attention/qkv,1,21,9656
RTX3090,gpt3-6.7b-moe,lm_head,1,21,9665
RTX3090,gpt3-6.7b-moe,mlp/proj,1,21,9491
RTX3090,gpt3-6.7b-moe,mlp/fc,1,21,9311
RTX3090,gpt3-6.7b-moe,gating,1,21,6210
RTX3090,gpt3-6.7b-moe,moe_ffn,1,21,74099
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,22,55727
RTX3090,gpt3-6.7b-moe,ln_f,1,22,62682
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,22,102665
RTX3090,gpt3-6.7b-moe,post_layernorm,1,22,44406
RTX3090,gpt3-6.7b-moe,input_layernorm,1,22,45353
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,22,45012
RTX3090,gpt3-6.7b-moe,attention/dense,1,22,10477
RTX3090,gpt3-6.7b-moe,attention/qkv,1,22,9666
RTX3090,gpt3-6.7b-moe,lm_head,1,22,9675
RTX3090,gpt3-6.7b-moe,mlp/proj,1,22,9501
RTX3090,gpt3-6.7b-moe,mlp/fc,1,22,9321
RTX3090,gpt3-6.7b-moe,gating,1,22,6220
RTX3090,gpt3-6.7b-moe,moe_ffn,1,22,74109
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,23,55737
RTX3090,gpt3-6.7b-moe,ln_f,1,23,62692
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,23,102675
RTX3090,gpt3-6.7b-moe,post_layernorm,1,23,44416
RTX3090,gpt3-6.7b-moe,input_layernorm,1,23,45363
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,23,45022
RTX3090,gpt3-6.7b-moe,attention/dense,1,23,10487
RTX3090,gpt3-6.7b-moe,attention/qkv,1,23,9676
RTX3090,gpt3-6.7b-moe,lm_head,1,23,9685
RTX3090,gpt3-6.7b-moe,mlp/proj,1,23,9511
RTX3090,gpt3-6.7b-moe,mlp/fc,1,23,9331
RTX3090,gpt3-6.7b-moe,gating,1,23,6230
RTX3090,gpt3-6.7b-moe,moe_ffn,1,23,74119
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,24,55747
RTX3090,gpt3-6.7b-moe,ln_f,1,24,62702
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,24,102685
RTX3090,gpt3-6.7b-moe,post_layernorm,1,24,44426
RTX3090,gpt3-6.7b-moe,input_layernorm,1,24,45373
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,24,45032
RTX3090,gpt3-6.7b-moe,attention/dense,1,24,10497
RTX3090,gpt3-6.7b-moe,attention/qkv,1,24,9686
RTX3090,gpt3-6.7b-moe,lm_head,1,24,9695
RTX3090,gpt3-6.7b-moe,mlp/proj,1,24,9521
RTX3090,gpt3-6.7b-moe,mlp/fc,1,24,9341
RTX3090,gpt3-6.7b-moe,gating,1,24,6240
RTX3090,gpt3-6.7b-moe,moe_ffn,1,24,74129
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,25,55757
RTX3090,gpt3-6.7b-moe,ln_f,1,25,62712
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,25,102695
RTX3090,gpt3-6.7b-moe,post_layernorm,1,25,44436
RTX3090,gpt3-6.7b-moe,input_layernorm,1,25,45383
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,25,45042
RTX3090,gpt3-6.7b-moe,attention/dense,1,25,10507
RTX3090,gpt3-6.7b-moe,attention/qkv,1,25,9696
RTX3090,gpt3-6.7b-moe,lm_head,1,25,9705
RTX3090,gpt3-6.7b-moe,mlp/proj,1,25,9531
RTX3090,gpt3-6.7b-moe,mlp/fc,1,25,9351
RTX3090,gpt3-6.7b-moe,gating,1,25,6250
RTX3090,gpt3-6.7b-moe,moe_ffn,1,25,74139
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,26,55767
RTX3090,gpt3-6.7b-moe,ln_f,1,26,62722
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,26,102705
RTX3090,gpt3-6.7b-moe,post_layernorm,1,26,44446
RTX3090,gpt3-6.7b-moe,input_layernorm,1,26,45393
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,26,45052
RTX3090,gpt3-6.7b-moe,attention/dense,1,26,10517
RTX3090,gpt3-6.7b-moe,attention/qkv,1,26,9706
RTX3090,gpt3-6.7b-moe,lm_head,1,26,9715
RTX3090,gpt3-6.7b-moe,mlp/proj,1,26,9541
RTX3090,gpt3-6.7b-moe,mlp/fc,1,26,9361
RTX3090,gpt3-6.7b-moe,gating,1,26,6260
RTX3090,gpt3-6.7b-moe,moe_ffn,1,26,74149
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,27,55777
RTX3090,gpt3-6.7b-moe,ln_f,1,27,62732
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,27,102715
RTX3090,gpt3-6.7b-moe,post_layernorm,1,27,44456
RTX3090,gpt3-6.7b-moe,input_layernorm,1,27,45403
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,27,45062
RTX3090,gpt3-6.7b-moe,attention/dense,1,27,10527
RTX3090,gpt3-6.7b-moe,attention/qkv,1,27,9716
RTX3090,gpt3-6.7b-moe,lm_head,1,27,9725
RTX3090,gpt3-6.7b-moe,mlp/proj,1,27,9551
RTX3090,gpt3-6.7b-moe,mlp/fc,1,27,9371
RTX3090,gpt3-6.7b-moe,gating,1,27,6270
RTX3090,gpt3-6.7b-moe,moe_ffn,1,27,74159
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,28,55787
RTX3090,gpt3-6.7b-moe,ln_f,1,28,62742
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,28,102725
RTX3090,gpt3-6.7b-moe,post_layernorm,1,28,44466
RTX3090,gpt3-6.7b-moe,input_layernorm,1,28,45413
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,28,45072
RTX3090,gpt3-6.7b-moe,attention/dense,1,28,10537
RTX3090,gpt3-6.7b-moe,attention/qkv,1,28,9726
RTX3090,gpt3-6.7b-moe,lm_head,1,28,9735
RTX3090,gpt3-6.7b-moe,mlp/proj,1,28,9561
RTX3090,gpt3-6.7b-moe,mlp/fc,1,28,9381
RTX3090,gpt3-6.7b-moe,gating,1,28,6280
RTX3090,gpt3-6.7b-moe,moe_ffn,1,28,74169
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,29,55797
RTX3090,gpt3-6.7b-moe,ln_f,1,29,62752
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,29,102735
RTX3090,gpt3-6.7b-moe,post_layernorm,1,29,44476
RTX3090,gpt3-6.7b-moe,input_layernorm,1,29,45423
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,29,45082
RTX3090,gpt3-6.7b-moe,attention/dense,1,29,10547
RTX3090,gpt3-6.7b-moe,attention/qkv,1,29,9736
RTX3090,gpt3-6.7b-moe,lm_head,1,29,9745
RTX3090,gpt3-6.7b-moe,mlp/proj,1,29,9571
RTX3090,gpt3-6.7b-moe,mlp/fc,1,29,9391
RTX3090,gpt3-6.7b-moe,gating,1,29,6290
RTX3090,gpt3-6.7b-moe,moe_ffn,1,29,74179
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,30,55807
RTX3090,gpt3-6.7b-moe,ln_f,1,30,62762
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,30,102745
RTX3090,gpt3-6.7b-moe,post_layernorm,1,30,44486
RTX3090,gpt3-6.7b-moe,input_layernorm,1,30,45433
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,30,45092
RTX3090,gpt3-6.7b-moe,attention/dense,1,30,10557
RTX3090,gpt3-6.7b-moe,attention/qkv,1,30,9746
RTX3090,gpt3-6.7b-moe,lm_head,1,30,9755
RTX3090,gpt3-6.7b-moe,mlp/proj,1,30,9581
RTX3090,gpt3-6.7b-moe,mlp/fc,1,30,9401
RTX3090,gpt3-6.7b-moe,gating,1,30,6300
RTX3090,gpt3-6.7b-moe,moe_ffn,1,30,74189
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,31,55817
RTX3090,gpt3-6.7b-moe,ln_f,1,31,62772
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,31,102755
RTX3090,gpt3-6.7b-moe,post_layernorm,1,31,44496
RTX3090,gpt3-6.7b-moe,input_layernorm,1,31,45443
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,31,45102
RTX3090,gpt3-6.7b-moe,attention/dense,1,31,10567
RTX3090,gpt3-6.7b-moe,attention/qkv,1,31,9756
RTX3090,gpt3-6.7b-moe,lm_head,1,31,9765
RTX3090,gpt3-6.7b-moe,mlp/proj,1,31,9591
RTX3090,gpt3-6.7b-moe,mlp/fc,1,31,9411
RTX3090,gpt3-6.7b-moe,gating,1,31,6310
RTX3090,gpt3-6.7b-moe,moe_ffn,1,31,74199
RTX3090,gpt3-6.7b-moe,mlp/gelu,1,32,55827
RTX3090,gpt3-6.7b-moe,ln_f,1,32,62782
RTX3090,gpt3-6.7b-moe,vocab_embedding,1,32,102765
RTX3090,gpt3-6.7b-moe,post_layernorm,1,32,44506
RTX3090,gpt3-6.7b-moe,input_layernorm,1,32,45453
RTX3090,gpt3-6.7b-moe,attention/wrapper,1,32,45112
RTX3090,gpt3-6.7b-moe,attention/dense,1,32,10577
RTX3090,gpt3-6.7b-moe,attention/qkv,1,32,9766
RTX3090,gpt3-6.7b-moe,lm_head,1,32,9775
RTX3090,gpt3-6.7b-moe,mlp/proj,1,32,9601
RTX3090,gpt3-6.7b-moe,mlp/fc,1,32,9421
RTX3090,gpt3-6.7b-moe,gating,1,32,6320
